BLIND SEARCH LAB | seed=20260915 | algorithm=algorithm
Attempted: 20/20 | Solved: 20/20
Overall score: 47.47/100
Unattempted levels count as zero. Moves exclude the start cell.
Expanded = student-reported frontier removals, including goal; not graded.
Level | Moves | Optimal | Expanded | BFS expanded | Search ms | Score | Status
01 | 1174 | 94 | 1324 | 2496 | 1.406 | 8.01 | Solved
02 | 918 | 94 | 970 | 2371 | 1.071 | 10.24 | Solved
03 | 732 | 94 | 1159 | 2271 | 1.215 | 12.84 | Solved
04 | 650 | 94 | 1219 | 2171 | 1.262 | 14.46 | Solved
05 | 724 | 94 | 1156 | 2071 | 1.236 | 12.98 | Solved
06 | 592 | 94 | 1121 | 1967 | 1.167 | 15.88 | Solved
07 | 484 | 94 | 1140 | 1857 | 1.179 | 19.42 | Solved
08 | 294 | 98 | 934 | 1751 | 0.958 | 33.33 | Solved
09 | 246 | 102 | 1405 | 1624 | 1.373 | 41.46 | Solved
10 | 198 | 108 | 358 | 1468 | 0.369 | 54.55 | Solved
11 | 486 | 118 | 864 | 1199 | 0.871 | 24.28 | Solved
12 | 486 | 154 | 777 | 1218 | 0.812 | 31.69 | Solved
13 | 262 | 170 | 972 | 870 | 0.980 | 64.89 | Solved
14 | 230 | 186 | 1117 | 815 | 1.114 | 80.87 | Solved
15 | 394 | 318 | 1129 | 1173 | 1.139 | 80.71 | Solved
16 | 486 | 326 | 967 | 541 | 0.984 | 67.08 | Solved
17 | 474 | 446 | 790 | 1049 | 0.821 | 94.09 | Solved
18 | 622 | 514 | 978 | 1137 | 0.976 | 82.64 | Solved
19 | 522 | 522 | 1106 | 1135 | 1.116 | 100.00 | Solved
20 | 542 | 542 | 1091 | 950 | 1.101 | 100.00 | Solved
Total successful moves: 10516
Total recorded search time: 0.021150 seconds
